id,title,description,category,price,rating
1,Wool Blend Sweater - Black,"Classic knit pullover with ribbed cuffs, warm and stylish for fall and winter.",Clothing,195.43,3.7
2,Waterproof Rain Jacket Unisex Pro,"Lightweight packable rain shell with hood, ideal for travel and commuting.",Clothing,215.49,4.7
3,Air Fryer 5 Quart Lite,"Digital air fryer for crispy meals with less oil, includes recipe booklet.",Home & Kitchen,49.17,3.5
4,Outdoor Bubble Machine Ultra,Battery-powered bubble blower for birthday parties and backyard fun.,Toys & Games,62.52,4.0
5,Wireless Bluetooth Headphones Plus - White,"Premium over-ear headphones with active noise cancellation, 30-hour battery life, and deep bass for music lovers.",Electronics,128.25,3.8
6,Air Fryer 5 Quart Essential,"Digital air fryer for crispy meals with less oil, includes recipe booklet.",Home & Kitchen,140.73,4.6
7,Coconut Body Lotion Essential,Rich moisturizing lotion with natural coconut extract for soft smooth skin. Eco-friendly packaging.,Beauty & Personal Care,60.15,4.8
8,Running Shorts Quick Dry Ultra,Lightweight athletic shorts with moisture-wicking fabric and inner liner.,Clothing,117.09,3.8
9,Fitness Tracker Watch Essential - Red,"Heart rate, step count, sleep monitoring, and smartphone notifications on wrist.",Health & Wellness,115.71,3.7
10,Glass Food Storage Containers Deluxe - Black,"BPA-free meal prep containers with snap-lock lids, microwave safe. Best seller in category.",Home & Kitchen,291.95,4.2
11,Resistance Bands Set Classic - White,Five latex bands with handles and door anchor for full-body home workouts.,Sports & Outdoors,307.32,3.9
12,Coconut Body Lotion Lite - Red,Rich moisturizing lotion with natural coconut extract for soft smooth skin. Free shipping eligible.,Beauty & Personal Care,86.63,4.1
13,Herbal Sleep Tea Blend Plus - Black,Caffeine-free chamomile and valerian tea for relaxing bedtime routine.,Health & Wellness,157.56,4.0
14,Exfoliating Face Scrub Deluxe - Red,Gentle walnut scrub to remove dead skin cells and unclog pores. Highly rated by customers.,Beauty & Personal Care,45.8,4.4
15,Hydrating Moisturizer SPF 30,Daily facial lotion with broad spectrum sun protection and hyaluronic acid.,Beauty & Personal Care,20.5,4.4
16,Vitamin C Face Serum Ultra,Brightening antioxidant serum to reduce dark spots and improve skin radiance.,Beauty & Personal Care,68.33,4.0
17,Essential Oil Diffuser Ultrasonic Essential,Aromatherapy humidifier with LED mood lighting and timer settings.,Health & Wellness,72.93,3.8
18,Desk Organizer Bamboo Plus,"Multi-compartment tray for pens, phones, and office supplies.",Books & Stationery,24.31,4.8
19,Digital Body Weight Scale Deluxe - Navy,"Bluetooth smart scale tracking weight, BMI, and body composition trends. Best seller in category.",Health & Wellness,36.3,3.8
20,Makeup Brush Set 12-Piece Lite - Black,"Synthetic bristle brushes for foundation, blush, and eye makeup application.",Beauty & Personal Care,26.38,4.5
21,Women's Fleece Lined Leggings - Black,Thermal leggings with soft fleece interior for cozy winter layering and yoga. Best seller in category.,Clothing,115.61,4.5
22,Massage Gun Percussion Pro,Cordless deep tissue massager with adjustable speeds for muscle soreness relief.,Health & Wellness,167.63,4.3
23,Children's Illustrated Storybook Deluxe,Colorful picture book with moral tales for bedtime reading ages 4-8. Free shipping eligible.,Books & Stationery,21.11,4.3
24,Art and Craft Supply Box Deluxe - White,"Glitter, glue, scissors, and paper assortment for creative kids projects.",Toys & Games,57.09,4.3
25,Sticky Notes Assorted Pack Plus,Neon and pastel repositionable notes for office and study organization. Limited time offer.,Books & Stationery,13.8,4.2
26,Plush Teddy Bear Large Plus,Soft hypoallergenic stuffed animal gift for toddlers and collectors. Limited time offer.,Toys & Games,64.3,4.5
27,Plush Teddy Bear Large Lite,Soft hypoallergenic stuffed animal gift for toddlers and collectors. Eco-friendly packaging.,Toys & Games,58.66,4.0
28,Wooden Chess Set Foldable - Navy,"Handcrafted chess board with storage for pieces, travel friendly.",Toys & Games,41.67,3.9
29,Makeup Brush Set 12-Piece Deluxe,"Synthetic bristle brushes for foundation, blush, and eye makeup application.",Beauty & Personal Care,19.32,4.9
30,Essential Oil Diffuser Ultrasonic Pro,Aromatherapy humidifier with LED mood lighting and timer settings.,Health & Wellness,136.99,4.7
31,Tablet Stand Adjustable Plus,"Aluminum foldable stand for tablets and e-readers, ideal for desk and kitchen use.",Electronics,514.67,4.0
32,Foam Roller Muscle Recovery Plus,High-density roller for myofascial release after workouts and physical therapy. Best seller in category.,Health & Wellness,130.69,4.5
33,Air Fryer 5 Quart Lite - Navy,"Digital air fryer for crispy meals with less oil, includes recipe booklet. Limited time offer.",Home & Kitchen,203.1,4.6
34,Classic Novel Collection Box Set Classic,Timeless literature anthology with embossed hardcover bindings.,Books & Stationery,7.2,4.0
35,Argan Oil Hair Treatment - Black,Nourishing leave-in oil to repair dry damaged hair and reduce frizz.,Beauty & Personal Care,25.38,4.1
36,Wireless Bluetooth Headphones Pro,"Premium over-ear headphones with active noise cancellation, 30-hour battery life, and deep bass for music lovers.",Electronics,769.41,3.6
37,Portable Power Bank 20000mAh Essential,High-capacity external battery with dual USB ports and fast charge support for phones and tablets.,Electronics,66.54,4.4
38,Remote Control Car Off-Road Lite - Red,Rechargeable RC truck with shock absorbers for indoor and outdoor play. Eco-friendly packaging.,Toys & Games,30.26,4.5
39,Yoga Block and Strap Set Classic,Cork blocks and cotton strap to improve flexibility and alignment in poses.,Health & Wellness,116.17,4.3
40,Beginner Python Programming Guide Lite,"Hands-on coding book covering fundamentals, data structures, and projects. Limited time offer.",Books & Stationery,31.91,4.0
41,Colored Pencil Art Set 48 Colors Ultra,Professional grade pencils with blending tools for drawing and sketching. Free shipping eligible.,Books & Stationery,37.75,3.9
42,Noise Cancelling Earbuds Ultra,True wireless earbuds with transparency mode and sweat resistance for workouts.,Electronics,35.08,4.0
43,Ceramic Nonstick Frying Pan Classic,Induction-compatible skillet with PFOA-free coating for healthy cooking.,Home & Kitchen,257.1,4.4
44,Children's Illustrated Storybook Lite,Colorful picture book with moral tales for bedtime reading ages 4-8.,Books & Stationery,12.29,4.2
45,Foam Roller Muscle Recovery Pro,High-density roller for myofascial release after workouts and physical therapy. Free shipping eligible.,Health & Wellness,40.48,4.4
46,Women's Fleece Lined Leggings Lite,Thermal leggings with soft fleece interior for cozy winter layering and yoga.,Clothing,117.74,4.2
47,Air Fryer 5 Quart Ultra - Black,"Digital air fryer for crispy meals with less oil, includes recipe booklet.",Home & Kitchen,117.8,4.2
48,Lip Balm SPF 15 Pack Deluxe - Navy,Moisturizing lip protection with vitamin E for daily outdoor use.,Beauty & Personal Care,37.31,3.5
49,Digital Body Weight Scale Classic,"Bluetooth smart scale tracking weight, BMI, and body composition trends.",Health & Wellness,34.07,3.7
50,Noise Cancelling Earbuds,True wireless earbuds with transparency mode and sweat resistance for workouts.,Electronics,818.19,3.7
51,Family Board Game Strategy Plus,"Award-winning tabletop game for 2-4 players, 45-minute play time.",Toys & Games,28.35,4.8
52,Robot Vacuum Cleaner Pro - Red,"Smart mapping vacuum with app control, ideal for pet hair on hardwood and carpet. Best seller in category.",Home & Kitchen,275.77,4.6
53,Running Shorts Quick Dry Lite,Lightweight athletic shorts with moisture-wicking fabric and inner liner. Best seller in category.,Clothing,118.5,4.1
54,Protein Powder Whey Isolate Essential - Black,"Low-carb post-workout supplement with 25g protein per serving, vanilla flavor. Limited time offer.",Health & Wellness,30.03,4.0
55,Camping Tent 4-Person Deluxe,"Waterproof dome tent with easy setup, ventilation windows, and rainfly for family trips. Limited time offer.",Sports & Outdoors,192.74,3.3
56,Desk Organizer Bamboo Essential,"Multi-compartment tray for pens, phones, and office supplies.",Books & Stationery,17.93,4.3
57,Fitness Tracker Watch Pro,"Heart rate, step count, sleep monitoring, and smartphone notifications on wrist.",Health & Wellness,45.06,3.5
58,Hiking Backpack 40L Plus,Ergonomic trekking pack with hydration sleeve and rain cover for multi-day hikes. Limited time offer.,Sports & Outdoors,307.48,3.9
59,Folding Camping Chair Plus,"Portable outdoor chair with cup holder, lightweight for beach and tailgating.",Sports & Outdoors,183.76,4.2
60,Sleeping Bag 3-Season - Gray,Compact mummy bag rated to 20°F for backpacking and car camping.,Sports & Outdoors,241.37,4.1
61,Waterproof Rain Jacket Unisex Plus,"Lightweight packable rain shell with hood, ideal for travel and commuting. Eco-friendly packaging.",Clothing,32.01,4.3
62,Merino Wool Hiking Socks Deluxe,Cushioned wool socks that regulate temperature on long trail hikes.,Clothing,21.86,4.9
63,Argan Oil Hair Treatment Lite - White,Nourishing leave-in oil to repair dry damaged hair and reduce frizz.,Beauty & Personal Care,34.72,4.4
64,Adjustable Dumbbell Set,Space-saving adjustable weights from 5 to 52.5 lbs for home strength training.,Sports & Outdoors,59.19,3.6
65,Resistance Bands Set,Five latex bands with handles and door anchor for full-body home workouts. Limited time offer.,Sports & Outdoors,84.65,3.7
66,Stainless Steel Cookware Set 10-Piece Classic - Navy,Non-stick pots and pans with even heat distribution for everyday cooking.,Home & Kitchen,210.33,3.5
67,Wool Blend Sweater Pro - Red,"Classic knit pullover with ribbed cuffs, warm and stylish for fall and winter. Eco-friendly packaging.",Clothing,152.05,4.1
68,Portable Power Bank 20000mAh Essential - Black,High-capacity external battery with dual USB ports and fast charge support for phones and tablets.,Electronics,862.37,3.7
69,Wireless Mouse Ergonomic Deluxe,Silent click wireless mouse with adjustable DPI and long-range Bluetooth connectivity. Free shipping eligible.,Electronics,706.94,4.6
70,Coconut Body Lotion Lite - Red,Rich moisturizing lotion with natural coconut extract for soft smooth skin.,Beauty & Personal Care,47.42,5.0
71,Digital Body Weight Scale Ultra - Red,"Bluetooth smart scale tracking weight, BMI, and body composition trends.",Health & Wellness,187.37,3.7
72,Camping Tent 4-Person Plus - Black,"Waterproof dome tent with easy setup, ventilation windows, and rainfly for family trips. Free shipping eligible.",Sports & Outdoors,199.45,4.3
73,Memory Foam Pillow Queen Essential - Navy,Ergonomic cervical support pillow for better sleep and neck alignment. Highly rated by customers.,Home & Kitchen,127.75,4.0
74,Insulated Water Bottle 32oz Plus,"Double-wall stainless bottle keeps drinks cold 24 hours, hot 12 hours.",Sports & Outdoors,186.35,4.1
75,Portable Power Bank 20000mAh Classic,High-capacity external battery with dual USB ports and fast charge support for phones and tablets. Best seller in category.,Electronics,745.44,4.3
76,Retinol Night Cream Deluxe - Black,Anti-aging night moisturizer to smooth fine lines and even skin tone.,Beauty & Personal Care,19.36,3.7
77,Ceramic Nonstick Frying Pan Ultra,Induction-compatible skillet with PFOA-free coating for healthy cooking. Limited time offer.,Home & Kitchen,53.94,4.0
78,Retinol Night Cream Ultra - Gray,Anti-aging night moisturizer to smooth fine lines and even skin tone.,Beauty & Personal Care,30.78,4.3
79,Mechanical Gaming Keyboard RGB Pro - White,"Tactile switches, per-key RGB lighting, and programmable macros for competitive gaming.",Electronics,657.66,4.3
80,Hiking Backpack 40L,Ergonomic trekking pack with hydration sleeve and rain cover for multi-day hikes.,Sports & Outdoors,60.83,4.0
81,Vitamin C Face Serum Ultra - Gray,Brightening antioxidant serum to reduce dark spots and improve skin radiance.,Beauty & Personal Care,26.65,3.7
82,Yoga Block and Strap Set Lite,Cork blocks and cotton strap to improve flexibility and alignment in poses. Free shipping eligible.,Health & Wellness,115.76,5.0
83,Card Game Party Pack Lite,Fast-paced multiplayer card game suitable for ages 10 and up.,Toys & Games,67.26,4.6
84,Electric Toothbrush Rechargeable Essential,Sonic brush with multiple modes and two-minute timer for dental health. Limited time offer.,Beauty & Personal Care,33.69,4.7
85,Plush Teddy Bear Large Deluxe - White,Soft hypoallergenic stuffed animal gift for toddlers and collectors.,Toys & Games,30.07,4.1
86,Cycling Helmet Adult Plus,Ventilated road bike helmet with adjustable fit system and MIPS protection. Best seller in category.,Sports & Outdoors,117.01,3.9
87,Memory Foam Pillow Queen Deluxe,Ergonomic cervical support pillow for better sleep and neck alignment. Limited time offer.,Home & Kitchen,72.49,4.0
88,Folding Camping Chair Lite,"Portable outdoor chair with cup holder, lightweight for beach and tailgating.",Sports & Outdoors,184.9,3.6
89,Hydrating Moisturizer SPF 30 Classic,Daily facial lotion with broad spectrum sun protection and hyaluronic acid. Eco-friendly packaging.,Beauty & Personal Care,80.23,5.0
90,Building Blocks STEM Kit 500pc Plus - White,Creative construction set encouraging engineering skills for kids ages 6+.,Toys & Games,71.46,4.1
91,Fitness Tracker Watch Essential,"Heart rate, step count, sleep monitoring, and smartphone notifications on wrist. Highly rated by customers.",Health & Wellness,109.03,4.9
92,Trail Running Shoes Lite - Black,Lightweight grippy soles with cushioned midsole for rocky and muddy trails.,Sports & Outdoors,312.59,4.0
93,Yoga Mat Non-Slip 6mm Classic,"Extra thick exercise mat with carrying strap for yoga, pilates, and floor workouts.",Sports & Outdoors,161.62,4.4
94,Yoga Block and Strap Set Lite - Navy,Cork blocks and cotton strap to improve flexibility and alignment in poses.,Health & Wellness,151.65,4.3
95,Yoga Mat Non-Slip 6mm Plus,"Extra thick exercise mat with carrying strap for yoga, pilates, and floor workouts. Free shipping eligible.",Sports & Outdoors,375.05,3.5
96,Colored Pencil Art Set 48 Colors Lite,Professional grade pencils with blending tools for drawing and sketching. Eco-friendly packaging.,Books & Stationery,10.79,5.0
97,Children's Illustrated Storybook,Colorful picture book with moral tales for bedtime reading ages 4-8.,Books & Stationery,11.98,4.0
98,Children's Illustrated Storybook Essential - Navy,Colorful picture book with moral tales for bedtime reading ages 4-8. Eco-friendly packaging.,Books & Stationery,29.38,3.6
99,Colored Pencil Art Set 48 Colors Classic - Red,Professional grade pencils with blending tools for drawing and sketching. Best seller in category.,Books & Stationery,18.1,4.5
100,Hiking Backpack 40L Lite - White,Ergonomic trekking pack with hydration sleeve and rain cover for multi-day hikes. Eco-friendly packaging.,Sports & Outdoors,388.32,4.2
101,Remote Control Car Off-Road Lite,Rechargeable RC truck with shock absorbers for indoor and outdoor play.,Toys & Games,19.93,4.4
102,Folding Camping Chair Lite,"Portable outdoor chair with cup holder, lightweight for beach and tailgating.",Sports & Outdoors,107.04,4.2
103,Outdoor Bubble Machine Pro,Battery-powered bubble blower for birthday parties and backyard fun.,Toys & Games,56.76,3.2
104,Merino Wool Hiking Socks Lite,Cushioned wool socks that regulate temperature on long trail hikes.,Clothing,132.0,3.8
105,Outdoor Bubble Machine Classic,Battery-powered bubble blower for birthday parties and backyard fun.,Toys & Games,50.1,3.8
106,Meditation and Mindfulness Workbook Ultra - Gray,"Guided exercises for stress relief, breathing techniques, and daily calm. Free shipping eligible.",Books & Stationery,37.36,4.7
107,Yoga Block and Strap Set Ultra,Cork blocks and cotton strap to improve flexibility and alignment in poses. Limited time offer.,Health & Wellness,150.19,4.2
108,Lip Balm SPF 15 Pack Ultra - Red,Moisturizing lip protection with vitamin E for daily outdoor use.,Beauty & Personal Care,18.02,4.4
109,Herbal Sleep Tea Blend Lite,Caffeine-free chamomile and valerian tea for relaxing bedtime routine.,Health & Wellness,86.35,4.0
110,Remote Control Car Off-Road,Rechargeable RC truck with shock absorbers for indoor and outdoor play. Best seller in category.,Toys & Games,43.71,4.5
111,Programmable Coffee Maker Classic - Gray,"12-cup drip coffee machine with timer, reusable filter, and auto shut-off.",Home & Kitchen,334.31,4.1
112,Productivity Planner 2026,"Undated daily planner with goal tracking, habit pages, and monthly reviews.",Books & Stationery,42.07,4.1
113,Children's Illustrated Storybook Plus,Colorful picture book with moral tales for bedtime reading ages 4-8.,Books & Stationery,27.65,4.3
114,Air Fryer 5 Quart Classic,"Digital air fryer for crispy meals with less oil, includes recipe booklet. Best seller in category.",Home & Kitchen,53.05,4.2
115,Resistance Bands Set Ultra,Five latex bands with handles and door anchor for full-body home workouts.,Sports & Outdoors,178.84,5.0
116,USB-C Laptop Charger 65W - White,"Fast charging adapter compatible with most ultrabooks and tablets, compact travel design.",Electronics,541.9,3.8
117,Tablet Stand Adjustable - Black,"Aluminum foldable stand for tablets and e-readers, ideal for desk and kitchen use.",Electronics,726.06,3.5
118,USB-C Laptop Charger 65W Plus,"Fast charging adapter compatible with most ultrabooks and tablets, compact travel design.",Electronics,708.73,4.4
119,Wool Blend Sweater Lite,"Classic knit pullover with ribbed cuffs, warm and stylish for fall and winter.",Clothing,37.87,3.8
120,Beard Grooming Kit Plus - Red,"Trimming oil, balm, and comb set for beard care and styling. Highly rated by customers.",Beauty & Personal Care,72.54,3.1
121,Trail Running Shoes Pro - White,Lightweight grippy soles with cushioned midsole for rocky and muddy trails.,Sports & Outdoors,221.16,3.7
122,Exfoliating Face Scrub Ultra - Black,Gentle walnut scrub to remove dead skin cells and unclog pores.,Beauty & Personal Care,78.29,5.0
123,Yoga Mat Non-Slip 6mm Pro - White,"Extra thick exercise mat with carrying strap for yoga, pilates, and floor workouts. Eco-friendly packaging.",Sports & Outdoors,176.36,3.8
124,Running Shorts Quick Dry,Lightweight athletic shorts with moisture-wicking fabric and inner liner.,Clothing,166.51,3.3
125,Beard Grooming Kit Pro - White,"Trimming oil, balm, and comb set for beard care and styling.",Beauty & Personal Care,44.77,5.0
126,Meditation and Mindfulness Workbook Classic,"Guided exercises for stress relief, breathing techniques, and daily calm. Best seller in category.",Books & Stationery,15.23,3.7
127,Merino Wool Hiking Socks Ultra,Cushioned wool socks that regulate temperature on long trail hikes.,Clothing,205.53,5.0
128,Insulated Water Bottle 32oz Classic,"Double-wall stainless bottle keeps drinks cold 24 hours, hot 12 hours. Eco-friendly packaging.",Sports & Outdoors,45.23,4.0
129,Insulated Water Bottle 32oz Essential,"Double-wall stainless bottle keeps drinks cold 24 hours, hot 12 hours.",Sports & Outdoors,75.4,5.0
