id,title,description,category,price,rating,search_text
1,Wool Blend Sweater - Black,"Classic knit pullover with ribbed cuffs, warm and stylish for fall and winter.",Clothing,195.43,3.7,"Wool Blend Sweater - Black. Classic knit pullover with ribbed cuffs, warm and stylish for fall and winter.. Category: Clothing"
2,Waterproof Rain Jacket Unisex Pro,"Lightweight packable rain shell with hood, ideal for travel and commuting.",Clothing,215.49,4.7,"Waterproof Rain Jacket Unisex Pro. Lightweight packable rain shell with hood, ideal for travel and commuting.. Category: Clothing"
3,Air Fryer 5 Quart Lite,"Digital air fryer for crispy meals with less oil, includes recipe booklet.",Home & Kitchen,49.17,3.5,"Air Fryer 5 Quart Lite. Digital air fryer for crispy meals with less oil, includes recipe booklet.. Category: Home & Kitchen"
4,Outdoor Bubble Machine Ultra,Battery-powered bubble blower for birthday parties and backyard fun.,Toys & Games,62.52,4.0,Outdoor Bubble Machine Ultra. Battery-powered bubble blower for birthday parties and backyard fun.. Category: Toys & Games
5,Wireless Bluetooth Headphones Plus - White,"Premium over-ear headphones with active noise cancellation, 30-hour battery life, and deep bass for music lovers.",Electronics,128.25,3.8,"Wireless Bluetooth Headphones Plus - White. Premium over-ear headphones with active noise cancellation, 30-hour battery life, and deep bass for music lovers.. Category: Electronics"
6,Air Fryer 5 Quart Essential,"Digital air fryer for crispy meals with less oil, includes recipe booklet.",Home & Kitchen,140.73,4.6,"Air Fryer 5 Quart Essential. Digital air fryer for crispy meals with less oil, includes recipe booklet.. Category: Home & Kitchen"
7,Coconut Body Lotion Essential,Rich moisturizing lotion with natural coconut extract for soft smooth skin. Eco-friendly packaging.,Beauty & Personal Care,60.15,4.8,Coconut Body Lotion Essential. Rich moisturizing lotion with natural coconut extract for soft smooth skin. Eco-friendly packaging.. Category: Beauty & Personal Care
8,Running Shorts Quick Dry Ultra,Lightweight athletic shorts with moisture-wicking fabric and inner liner.,Clothing,117.09,3.8,Running Shorts Quick Dry Ultra. Lightweight athletic shorts with moisture-wicking fabric and inner liner.. Category: Clothing
9,Fitness Tracker Watch Essential - Red,"Heart rate, step count, sleep monitoring, and smartphone notifications on wrist.",Health & Wellness,115.71,3.7,"Fitness Tracker Watch Essential - Red. Heart rate, step count, sleep monitoring, and smartphone notifications on wrist.. Category: Health & Wellness"
10,Glass Food Storage Containers Deluxe - Black,"BPA-free meal prep containers with snap-lock lids, microwave safe. Best seller in category.",Home & Kitchen,291.95,4.2,"Glass Food Storage Containers Deluxe - Black. BPA-free meal prep containers with snap-lock lids, microwave safe. Best seller in category.. Category: Home & Kitchen"
11,Resistance Bands Set Classic - White,Five latex bands with handles and door anchor for full-body home workouts.,Sports & Outdoors,307.32,3.9,Resistance Bands Set Classic - White. Five latex bands with handles and door anchor for full-body home workouts.. Category: Sports & Outdoors
12,Coconut Body Lotion Lite - Red,Rich moisturizing lotion with natural coconut extract for soft smooth skin. Free shipping eligible.,Beauty & Personal Care,86.63,4.1,Coconut Body Lotion Lite - Red. Rich moisturizing lotion with natural coconut extract for soft smooth skin. Free shipping eligible.. Category: Beauty & Personal Care
13,Herbal Sleep Tea Blend Plus - Black,Caffeine-free chamomile and valerian tea for relaxing bedtime routine.,Health & Wellness,157.56,4.0,Herbal Sleep Tea Blend Plus - Black. Caffeine-free chamomile and valerian tea for relaxing bedtime routine.. Category: Health & Wellness
14,Exfoliating Face Scrub Deluxe - Red,Gentle walnut scrub to remove dead skin cells and unclog pores. Highly rated by customers.,Beauty & Personal Care,45.8,4.4,Exfoliating Face Scrub Deluxe - Red. Gentle walnut scrub to remove dead skin cells and unclog pores. Highly rated by customers.. Category: Beauty & Personal Care
15,Hydrating Moisturizer SPF 30,Daily facial lotion with broad spectrum sun protection and hyaluronic acid.,Beauty & Personal Care,20.5,4.4,Hydrating Moisturizer SPF 30. Daily facial lotion with broad spectrum sun protection and hyaluronic acid.. Category: Beauty & Personal Care
